"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","GET /users/1 returns user with complete data structure @smoke","api-tests","Fri Feb 20 02:04:49 UTC 2026","passed","Fri Feb 20 02:04:49 UTC 2026","Get Users @users @get","user-tests/get-user.spec.ts","",""
"","403","POST /posts with random data creates post correctly @smoke","api-tests","Fri Feb 20 02:04:47 UTC 2026","passed","Fri Feb 20 02:04:47 UTC 2026","Create Posts @posts @post","post-tests/create-post.spec.ts","",""
"","30","GET /todos?userId=1 returns only todos for user 1","api-tests","Fri Feb 20 02:04:48 UTC 2026","passed","Fri Feb 20 02:04:49 UTC 2026","Get Todos @todos @get","todo-tests/get-todo.spec.ts","",""
"","101","DELETE /posts/50 returns 200","api-tests","Fri Feb 20 02:04:47 UTC 2026","passed","Fri Feb 20 02:04:48 UTC 2026","Delete Posts @posts @delete","post-tests/delete-post.spec.ts","",""
"","278","PUT /posts/{id} with random data updates correctly","api-tests","Fri Feb 20 02:04:48 UTC 2026","passed","Fri Feb 20 02:04:48 UTC 2026","Update Posts @posts @put @patch","post-tests/update-post.spec.ts","",""
"","17","GET /todos/1 returns a single todo @smoke","api-tests","Fri Feb 20 02:04:48 UTC 2026","passed","Fri Feb 20 02:04:48 UTC 2026","Get Todos @todos @get","todo-tests/get-todo.spec.ts","",""
"","268","GET /posts returns list of 100 posts @smoke","api-tests","Fri Feb 20 02:04:48 UTC 2026","passed","Fri Feb 20 02:04:48 UTC 2026","Get Posts @posts @get","post-tests/get-post.spec.ts","",""
"","115","POST /posts works with data: Third Post","api-tests","Fri Feb 20 02:04:47 UTC 2026","passed","Fri Feb 20 02:04:47 UTC 2026","Create Posts @posts @post","post-tests/create-post.spec.ts","",""
"","103","PATCH /posts/{id} partially updates a post @smoke","api-tests","Fri Feb 20 02:04:48 UTC 2026","passed","Fri Feb 20 02:04:48 UTC 2026","Update Posts @posts @put @patch","post-tests/update-post.spec.ts","",""
"","21","GET /posts?userId=1 returns only posts for user 1","api-tests","Fri Feb 20 02:04:48 UTC 2026","passed","Fri Feb 20 02:04:48 UTC 2026","Get Posts @posts @get","post-tests/get-post.spec.ts","",""
"","14","GET /users/1 returns matching user","api-tests","Fri Feb 20 02:04:49 UTC 2026","passed","Fri Feb 20 02:04:49 UTC 2026","Get Users @users @get","user-tests/get-user.spec.ts","",""
"","15","GET /todos contains both completed and incomplete items","api-tests","Fri Feb 20 02:04:49 UTC 2026","passed","Fri Feb 20 02:04:49 UTC 2026","Get Todos @todos @get","todo-tests/get-todo.spec.ts","",""
"","259","POST /posts creates a new post and returns 201 @smoke","api-tests","Fri Feb 20 02:04:47 UTC 2026","passed","Fri Feb 20 02:04:47 UTC 2026","Create Posts @posts @post","post-tests/create-post.spec.ts","",""
"","20","GET /users/10 returns matching user","api-tests","Fri Feb 20 02:04:49 UTC 2026","passed","Fri Feb 20 02:04:49 UTC 2026","Get Users @users @get","user-tests/get-user.spec.ts","",""
"","26","GET /posts/1/comments returns comments for post 1","api-tests","Fri Feb 20 02:04:48 UTC 2026","passed","Fri Feb 20 02:04:48 UTC 2026","Get Posts @posts @get","post-tests/get-post.spec.ts","",""
"","272","GET /posts/999 returns 404 for non-existent post @negative","api-tests","Fri Feb 20 02:04:48 UTC 2026","passed","Fri Feb 20 02:04:48 UTC 2026","Get Posts @posts @get","post-tests/get-post.spec.ts","",""
